timestamp,sequence,battery,flags,IMU_B-ch1,IMU_B-ch2,IMU_B-ch3,IMU_B-ch4,IMU_B-ch5,IMU_B-ch6,IMU_B-ch7,IMU_B-ch8,IMU_B-ch9
47845049022,30918,5,0,9.8885253906,1.9954101563,-2.5815917969,4.2378048780,12.2560975610,-0.7317073171,111.5977680446,-107.9978400432,-73.1985360293
47845065050,30919,5,0,9.4793945313,1.9188476563,-2.4332519531,-4.1768292683,17.1951219512,-2.1341463415,111.5977680446,-107.9978400432,-73.1985360293
47845096263,30920,5,0,9.2138183594,1.7441894531,-2.3854003906,-9.9390243902,16.7987804878,-1.3414634146,111.5977680446,-107.9978400432,-73.1985360293
47845130012,30921,5,0,9.2066406250,1.9571289063,-2.3447265625,-10.3048780488,11.4024390244,0.1524390244,111.5977680446,-107.9978400432,-73.1985360293
47845161278,30922,5,0,9.1731445313,1.9260253906,-2.2873046875,-11.6158536585,6.3414634146,0.3963414634,108.5978280434,-109.7978040439,-71.3985720286
47845192567,30923,5,0,9.0248046875,1.4738281250,-2.4093261719,-11.5548780488,2.2256097561,2.1036585366,108.5978280434,-109.7978040439,-71.3985720286
47845237721,30924,5,0,9.2209960938,1.6102050781,-2.5433105469,-4.9390243902,-2.5000000000,4.0853658537,108.5978280434,-109.7978040439,-71.3985720286
47845255277,30925,5,0,9.4865722656,1.6173828125,-2.5313476563,-0.5487804878,-4.1158536585,3.1402439024,108.5978280434,-109.7978040439,-71.3985720286
47845289990,30926,5,0,9.3765136719,1.6341308594,-2.5528808594,2.7439024390,-2.1646341463,0.8841463415,108.5978280434,-109.7978040439,-72.5985480290
47845317660,30927,5,0,9.2640625000,1.8566406250,-2.5815917969,5.6097560976,-0.3353658537,-1.2804878049,108.5978280434,-109.7978040439,-72.5985480290
47845375223,30928,5,0,9.3023437500,2.0456542969,-2.6079101563,6.2500000000,0.2134146341,-3.7500000000,108.5978280434,-109.7978040439,-72.5985480290
47845380219,30929,5,0,9.3238769531,1.8255371094,-2.5839843750,4.2073170732,0.8536585366,-4.5731707317,108.5978280434,-109.7978040439,-72.5985480290
47845410106,30930,5,0,9.5104980469,2.0695800781,-2.5457031250,5.8841463415,1.6463414634,-2.4085365854,108.5978280434,-109.7978040439,-72.5985480290
47845441352,30931,5,0,9.4100097656,2.0408691406,-2.5337402344,3.8414634146,3.6890243902,-2.3780487805,107.3978520430,-108.5978280434,-74.9985000300
47845473767,30932,5,0,9.5009277344,1.7968261719,-2.3519042969,2.4695121951,4.2987804878,-2.8048780488,107.3978520430,-108.5978280434,-74.9985000300
47845503778,30933,5,0,9.5009277344,1.7968261719,-2.3519042969,2.4695121951,4.2987804878,-2.8048780488,107.3978520430,-108.5978280434,-74.9985000300
47845535001,30934,5,0,9.5009277344,1.8470703125,-2.2609863281,3.6280487805,5.8536585366,-1.2804878049,107.3978520430,-108.5978280434,-74.9985000300
47845567599,30935,5,0,9.4530761719,1.9714843750,-2.2346679688,3.8414634146,6.6768292683,-0.2743902439,110.9977800444,-109.7978040439,-73.7985240295
47845600035,30936,5,0,9.1922851563,1.7130859375,-2.3064453125,1.9512195122,5.7926829268,0.3963414634,110.9977800444,-109.7978040439,-73.7985240295
47845629984,30937,5,0,9.2114257813,1.6604492188,-2.4260742188,2.9573170732,2.0121951220,2.0121951220,110.9977800444,-109.7978040439,-73.7985240295
47845661589,30938,5,0,9.4961425781,1.8159667969,-2.5074218750,3.6890243902,-1.0365853659,2.7439024390,110.9977800444,-109.7978040439,-73.7985240295
47845691252,30939,5,0,9.4554687500,1.4116210938,-2.4428222656,0.8536585366,-0.3963414634,2.9573170732,107.9978400432,-107.9978400432,-69.5986080278
47845719735,30940,5,0,9.6038085938,1.7681152344,-2.4093261719,2.5000000000,1.3414634146,4.2378048780,107.9978400432,-107.9978400432,-69.5986080278
47845758772,30941,5,0,9.4339355469,1.7059082031,-2.4069335938,-0.5792682927,3.2317073171,2.8963414634,107.9978400432,-107.9978400432,-69.5986080278
47845795032,30942,5,0,9.3860839844,1.7226562500,-2.4045410156,-1.9207317073,3.2012195122,1.5853658537,107.9978400432,-107.9978400432,-69.5986080278
47845831279,30943,5,0,9.4458984375,1.4929687500,-2.2514160156,-2.8963414634,2.6219512195,1.8597560976,109.7978040439,-110.9977800444,-68.9986200276
47845866250,30944,5,0,9.4147949219,1.5288574219,-2.2274902344,-1.2500000000,2.5914634146,2.8658536585,109.7978040439,-110.9977800444,-68.9986200276
